"Umpire","Avg. Runs/Team","Bias"
"Bill Miller","3.77","Extreme Pitchers"
"Brennan Miller","3.81","Extreme Pitchers"
"Roberto Ortiz","3.81","Extreme Pitchers"
"Mike Estabrook","3.81","Extreme Pitchers"
"Phil Cuzzi","3.81","Extreme Pitchers"
"Doug Eddings","3.81","Extreme Pitchers"
"Ron Kulpa","3.82","Extreme Pitchers"
"Vic Carapazza","3.82","Extreme Pitchers"
"Dan Merzel","3.83","Pitchers"
"Adam Hamari","3.83","Pitchers"
"Cory Blaser","3.83","Pitchers"
"Brian Gorman","3.83","Pitchers"
"Jim Wolf","3.83","Pitchers"
"Marty Foster","3.83","Pitchers"
"Nate Tomlinson","3.84","Pitchers"
"Jeremie Rehak","3.84","Pitchers"
"CB Bucknor","3.84","Pitchers"
"Ryan Blakney","3.84","Pitchers"
"Gabe Morales","3.85","Pitchers"
"Tripp Gibson","3.86","Pitchers"
"Brian O'Nora","3.86","Pitchers"
"Dan Bellino","3.86","Pitchers"
"Nestor Ceja","3.86","Pitchers"
"Ed Hickox","3.86","Pitchers"
"Ben May","3.87","Pitchers"
"Chris Conroy","3.87","Pitchers"
"Emil Jimenez","3.87","Pitchers"
"Edwin Jimenez","3.87","Pitchers"
"Quinn Wolcott","3.87","Pitchers"
"John Tumpane","3.88","Pitchers"
"Malachi Moore","3.88","Pitchers"
"Lance Barrett","3.88","Pitchers"
"Tony Randazzo","3.88","Pitchers"
"Jeremy Riggs","3.88","Pitchers"
"Mark Ripperger","3.88","Pitchers"
"Paul Clemons","3.88","Pitchers"
"Chris Segal","3.88","Pitchers"
"Laz Diaz","3.88","Pitchers"
"Andy Fletcher","3.89","Neutral"
"Chris Guccione","3.89","Neutral"
"Clint Vondrak","3.89","Neutral"
"Nick Mahrley","3.89","Neutral"
"Rob Drake","3.89","Neutral"
"Joe West","3.89","Neutral"
"Lance Barksdale","3.89","Neutral"
"Dan Iassogna","3.90","Neutral"
"Mike Muchlinski","3.90","Neutral"
"Tim Timmons","3.90","Neutral"
"Brock Ballou","3.90","Neutral"
"Will Little","3.90","Neutral"
"Sean Barber","3.90","Neutral"
"Jerry Layne","3.90","Neutral"
"Bruce Dreckman","3.90","Neutral"
"Pat Hoberg","3.91","Neutral"
"D.J. Reyburn","3.91","Neutral"
"Jim Reynolds","3.91","Neutral"
"Angel Hernandez","3.91","Neutral"
"Ted Barrett","3.91","Neutral"
"Manny Gonzalez","3.91","Neutral"
"Jose Navas","3.91","Neutral"
"Fieldin Culbreth","3.91","Neutral"
"Ryan Additon","3.91","Neutral"
"Chad Fairchild","3.91","Neutral"
"Lew Williams","3.91","Neutral"
"Ryan Wills","3.91","Neutral"
"David Rackley","3.91","Neutral"
"Erich Bacchus","3.91","Neutral"
"Alex MacKay","3.91","Neutral"
"Alex Tosi","3.91","Neutral"
"Adam Beck","3.91","Neutral"
"Kerwin Danley","3.91","Neutral"
"Charlie Ramos","3.91","Neutral"
"Hunter Wendelstedt","3.91","Neutral"
"Scott Barry","3.91","Neutral"
"Randy Rosenberg","3.92","Neutral"
"David Arrieta","3.92","Neutral"
"Brian Knight","3.92","Neutral"
"Jeff Nelson","3.93","Hitters"
"Junior Valentine","3.93","Hitters"
"Jansen Visconti","3.93","Hitters"
"Tom Hallion","3.93","Hitters"
"Marvin Hudson","3.93","Hitters"
"Bill Welke","3.94","Hitters"
"Kyle McCrady","3.94","Hitters"
"Jerry Meals","3.94","Hitters"
"John Bacon","3.94","Hitters"
"Shane Livensparger","3.94","Hitters"
"Adrian Johnson","3.95","Hitters"
"Jordan Baker","3.95","Hitters"
"Carlos Torres","3.95","Hitters"
"James Hoye","3.95","Hitters"
"Greg Gibson","3.95","Hitters"
"Ramon De Jesus","3.95","Hitters"
"Larry Vanover","3.96","Extreme Hitters"
"Todd Tichenor","3.96","Extreme Hitters"
"Chad Whitson","3.96","Extreme Hitters"
"Sam Holbrook","3.97","Extreme Hitters"
"Alan Porter","3.97","Extreme Hitters"
"Stu Scheurwater","3.97","Extreme Hitters"
"Mark Carlson","3.97","Extreme Hitters"
"Paul Emmel","3.97","Extreme Hitters"
"Nic Lentz","3.97","Extreme Hitters"
"John Libka","3.98","Extreme Hitters"
"Gerry Davis","3.98","Extreme Hitters"
"Mark Wegner","4.01","Extreme Hitters"
"Edwin Moscoso","4.02","Extreme Hitters"
"Alfonso Marquez","4.03","Extreme Hitters"
