Game Number,Team,Pitcher,Rest,Season WL,Season ERA,Season WHIP,Last 3 WL,Last 3 IP,Last 3 ERA,Last 3 WHIP,K,HR,Team WLCS,Streak WL,Streak O/U
,PHI,Wheeler (R),5,0-1,0.75,0.75,0-1,12.00,0.75,0.75,15,0,1-0,L1,U4
,STL,Thompson (L),5,0-2,6.97,1.65,0-2,10.00,6.97,1.65,9,4,0-0,L1,O1
,WAS,Gray (R),4,0-2,14.04,2.40,0-2,8.00,14.04,2.40,9,2,0-0,W1,U3
,SF,Harrison (L),5,1-1,4.91,1.36,1-1,11.00,4.91,1.36,9,3,0-1,W1,U3
,MIL,Ross (R),5,0-0,0.00,1.91,0-0,3.00,0.00,1.91,3,0,0-0,W1,O1
,CIN,Montas (R),5,2-0,0.77,1.03,2-0,11.00,0.77,1.03,9,1,0-1,L1,U1
903,NYM,Houser (R),4,0-0,1.80,1.20,0-0,5.00,1.80,1.20,3,0,1-0,W1,U1
904,ATL,Lopez (R),6,0-0,1.50,1.00,0-0,6.00,1.50,1.00,5,0,2-0,W3,U1
907,ARI,Kelly (R),5,1-0,1.98,0.66,1-0,13.00,1.98,0.66,12,2,0-2,L4,U1
908,COL,Quantrill (R),5,0-1,9.00,2.00,0-1,9.00,9.00,2.00,4,2,0-1,L2,U1
911,CHC,,0,0-0,0.00,0.00,0-0,0.00,0.00,0.00,0,0,0-2,W1,O1
912,SD,Musgrove (R),5,1-1,6.28,1.67,1-1,14.00,6.28,1.67,12,1,0-3,L1,U5
,OAK,Wood (L),6,0-1,9.72,1.92,0-1,8.00,9.72,1.92,10,0,0-0,W2,U2
,TEX,,0,0-0,0.00,0.00,0-0,0.00,0.00,0.00,0,0,4-1,L1,U2
913,BAL,Burnes (R),5,1-0,2.31,0.86,1-0,11.00,2.31,0.86,14,1,1-2,L2,U1
914,BOS,Bello (R),6,1-0,5.40,1.10,1-0,10.00,5.40,1.10,8,3,0-0,W1,O1
915,CHW,Soroka (R),4,0-1,4.91,1.45,0-1,11.00,4.91,1.45,2,2,0-3,L4,U3
916,CLE,Allen (L),5,2-0,2.31,1.11,2-0,11.00,2.31,1.11,9,2,0-0,W4,U2
917,SEA,Kirby (R),5,1-1,5.23,1.26,1-1,10.00,5.23,1.26,10,0,0-0,L1,O1
918,TOR,Bassitt (R),5,0-2,7.71,2.14,0-2,9.00,7.71,2.14,9,2,0-0,L3,O2
919,HOU,,0,0-0,0.00,0.00,0-0,0.00,0.00,0.00,0,0,1-2,W1,U2
920,KC,Ragans (L),5,0-1,1.46,0.89,0-1,12.00,1.46,0.89,16,1,3-0,W4,U3
923,TB,Civale (R),5,1-1,1.50,0.92,1-1,12.00,1.50,0.92,14,2,1-0,W2,U1
924,LAA,Sandoval (L),5,1-1,6.14,1.91,1-1,7.00,6.14,1.91,9,0,1-1,L1,O1
,MIA,Puk (L),5,0-2,9.00,2.83,0-2,6.00,9.00,2.83,6,0,0-0,W1,O1
,NYY,Rodon (L),5,0-0,2.79,1.76,0-0,9.00,2.79,1.76,7,2,1-0,W3,O3
,DET,Mize (R),4,0-0,6.23,1.62,0-0,4.00,6.23,1.62,4,0,4-1,L2,U2
,PIT,Perez (L),4,1-0,2.45,1.55,1-0,11.00,2.45,1.55,8,1,2-1,W2,U1
929,LAD,Glasnow (R),5,2-0,3.18,0.88,2-0,17.00,3.18,0.88,15,2,0-0,L1,O1
930,MIN,Paddack (R),5,0-0,4.50,2.00,0-0,4.00,4.50,2.00,2,1,0-0,L2,U2
