PARK,TEAM,wOBA,BA,HR,1B,2B,3B,K,BB,BABIP
Coors Field,COL,1.16,1.2,1.19,1.17,1.26,1.78,0.83,0.97,1.14
Great American Ball Park,CIN,1.06,1.05,1.24,1.01,1.05,0.75,0.99,1.02,1.02
Fenway Park,BOS,1.05,1.05,1.09,1.03,1.05,1.58,0.97,0.99,1.04
Guaranteed Rate Field,CWS,1.04,1.01,1.26,0.97,0.98,0.8,0.94,1.02,0.97
Dodger Stadium,LAD,1.01,1,1.13,0.98,1.02,0.87,1.03,0.98,1
Comerica Park,DET,1.01,1,0.95,0.98,1.03,2.01,0.94,1.02,0.99
Globe Life Field,TEX,1.01,0.99,1.07,0.97,1.03,1,1,1,0.99
Angel Stadium of Anaheim,LAA,1.01,0.99,1.15,0.96,0.96,1,1.02,1,0.97
Wrigley Field,CHC,1,1.01,0.96,1.02,0.96,1.02,0.99,0.99,1.01
Kauffman Stadium,KCR,1,1.03,0.81,1.05,1.1,1.22,0.92,0.99,1.02
PNC Park,PIT,1,1.02,0.88,1.04,1.04,0.91,0.96,1.01,1.02
American Family Field,MIL,1,0.98,1.06,0.95,1.01,1.06,1.02,1.02,0.98
Progressive Field,CLE,1,1,0.97,1.02,1.01,0.72,1,1.01,1.01
Chase Field,ARI,1,1.03,0.79,1.06,1.08,1.35,1,1,1.05
Target Field,MIN,1,1.01,0.91,1.02,1.03,0.86,1.01,1.01,1.02
Rogers Centre,TOR,0.99,0.98,1.09,0.98,0.98,0.54,1.02,0.98,0.98
Oracle Park,SFG,0.99,1.02,0.82,1.06,1.02,1.26,1,0.99,1.04
Citizens Bank Park,PHI,0.99,0.98,1.06,0.98,0.95,0.98,1.04,1,0.99
Truist Park,ATL,0.99,0.99,0.98,1,0.99,0.92,1.06,1,1.02
Nationals Park,WSH,0.99,0.97,1.04,0.95,1.02,0.75,0.99,0.99,0.96
Minute Maid Park,HOU,0.98,0.98,1.01,0.99,0.92,0.94,1.04,1.01,0.99
Oriole Park at Camden Yards,BAL,0.98,1,0.89,1.06,0.91,0.75,1,0.99,1.01
Busch Stadium,STL,0.98,0.99,0.89,1.01,1,1.09,0.96,0.98,0.99
Yankee Stadium,NYY,0.98,0.96,1.05,0.95,0.93,0.81,1.07,1.02,0.97
Petco Park,SDP,0.98,0.97,1.02,0.98,0.94,0.79,1.02,0.99,0.97
LoanDepot Park,MIA,0.97,0.98,0.88,1,0.96,1.12,1.02,0.98,0.99
T-Mobile Park,SEA,0.97,0.95,1.09,0.94,0.93,0.67,1.04,0.97,0.94
Tropicana Field,TBR,0.96,0.94,0.99,0.92,0.98,0.82,1.07,1.02,0.96
Oakland Coliseum,OAK,0.96,0.96,0.8,0.97,0.99,0.96,0.99,1,0.98
Citi Field,NYM,0.95,0.94,0.94,0.97,0.88,0.7,1.06,1.03,0.97
